task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
112,BC,4,POm,56,-0.038960893,0.820294157,81.77677323,FALSE
222,POm,47,BC,4,0.177471119,0.457623802,81.25332845,FALSE
351,POm,58,BC,11,0.013252902,0.182810033,80.77467796,FALSE
129,BC,5,POm,56,-0.055412475,0.382952432,80.64373395,FALSE
291,POm,53,BC,11,-0.016284636,0.119972504,80.44540663,FALSE
67,BC,11,POm,62,-0.538716755,0.985538655,80.36831113,FALSE
199,BC,9,POm,58,-0.054827928,0.731342826,80.28467394,FALSE
104,BC,4,POm,48,0.145228726,0.56640824,80.10113263,FALSE
110,BC,4,POm,54,0.018952606,0.276351816,79.07183364,FALSE
195,BC,9,POm,54,0.159202216,0.423865956,78.92990559,FALSE
29,BC,1,POm,58,0.403932952,0.961285251,78.76282315,FALSE
354,POm,58,BC,4,0.346891723,0.575189544,77.91732019,FALSE
148,BC,6,POm,58,0.139028324,0.342359971,77.7225044,FALSE
77,BC,12,POm,55,-0.071856029,0.552397403,76.03782331,FALSE
42,BC,10,POm,54,0.103523539,0.366644637,74.44692868,FALSE
383,POm,60,BC,9,-0.01428826,0.141195084,74.174111,FALSE
47,BC,10,POm,59,-0.179201452,0.431215656,73.63454134,FALSE
311,POm,54,BC,9,0.01607363,0.148111935,73.56556805,FALSE
353,POm,58,BC,3,-0.036489144,0.138541879,72.63628444,FALSE
395,POm,61,BC,9,-0.094372292,0.148805487,71.93189828,FALSE
134,BC,5,POm,61,0.085428218,0.300432165,71.8519944,FALSE
221,POm,47,BC,3,-0.004837107,0.110842188,71.62865624,FALSE
205,POm,46,BC,1,-0.086353677,0.132625924,71.13711765,FALSE
16,BC,0,POm,62,-0.018215576,0.524720534,71.05615143,FALSE
65,BC,11,POm,60,-0.646757719,1.317900534,69.12204379,FALSE
13,BC,0,POm,59,-0.102826409,0.499648554,68.57510719,FALSE
359,POm,58,BC,9,-0.011969237,0.137719586,66.83788901,FALSE
315,POm,55,BC,11,-0.074145299,0.140693134,66.743838,FALSE
269,POm,51,BC,3,-0.049714173,0.17225745,66.12285121,FALSE
25,BC,1,POm,54,0.375425112,0.561099236,65.91223128,FALSE
207,POm,46,BC,11,-0.031196324,0.117026466,64.51085625,FALSE
54,BC,11,POm,49,0.009190385,0.322997306,63.81153384,FALSE
189,BC,9,POm,48,0.553280242,0.812924937,62.83851246,FALSE
263,POm,50,BC,9,-0.043110008,0.135095622,62.33900209,FALSE
363,POm,59,BC,11,0.014248771,0.135940545,61.56405777,FALSE
239,POm,48,BC,9,0.053094402,0.140711783,61.52886101,FALSE
185,BC,8,POm,61,-0.005575275,0.297279806,60.98876734,FALSE
227,POm,47,BC,9,-0.007649716,0.128864584,60.89994125,FALSE
32,BC,1,POm,61,-0.693317375,0.61407269,60.0204399,0
88,BC,3,POm,49,0.076393933,0.198275356,58.99717183,FALSE
37,BC,10,POm,49,0.023514059,0.198943336,57.19762002,FALSE
131,BC,5,POm,58,0.018454195,0.257011384,56.20913112,FALSE
27,BC,1,POm,56,-0.368518221,0.736101343,54.3373265,FALSE
18,BC,1,POm,47,0.342773325,0.992058969,51.45699023,FALSE
190,BC,9,POm,49,0.070751981,0.265517966,50.10964726,FALSE
267,POm,51,BC,11,-0.03343237,0.150412764,49.85763111,FALSE
401,POm,62,BC,3,-0.027429186,0.171017151,49.63584023,FALSE
407,POm,62,BC,9,-0.016387949,0.132944237,49.61736975,FALSE
341,POm,57,BC,3,-0.123036719,0.430524586,47.96707978,FALSE
279,POm,52,BC,11,0.043712175,0.125909486,47.07498309,FALSE
19,BC,1,POm,48,0.189502787,0.687810024,46.97748529,FALSE
293,POm,53,BC,3,-0.031423904,0.142660822,46.69786894,FALSE
215,POm,46,BC,9,-0.031225477,0.142433519,46.50828227,FALSE
